# NIST X-ray attenuation tables (physics.nist.gov/PhysRefData/XrayMassCoef).
# Verified 2026-09-13 against the NIST website: all 92 elements and
# Air match row for row to the published 4 significant figures.
# One row per tabulated energy per element; elements H through U plus Air.
# energy_keV in keV; mass_attenuation and mass_energy_absorption in cm^2/g.
element,energy_keV,mass_attenuation,mass_energy_absorption
Ni,8,49.52,47.58
Ni,8.3328,44.28,42.42
Ni,8.3328,329.4,224
Ni,10,209,152.4
Ni,15,70.81,57.34
Ni,20,32.2,27.22
Ni,30,10.34,8.982
Ni,40,4.6,3.967
Ni,50,2.474,2.078
Ni,60,1.512,1.219
Ni,80,0.7306,0.5259
Ni,100,0.444,0.2781
Ni,150,0.2208,0.09812
Ni,200,0.1582,0.05649
Ni,300,0.1154,0.03659
Ni,400,0.09765,0.03209
Ni,500,0.08698,0.03036
Ni,600,0.07944,0.02937
Ni,800,0.06891,0.02795
Ni,1000,0.0616,0.02674
Ni,1250,0.05494,0.02536
Ni,1500,0.05015,0.0242
Ni,2000,0.04387,0.02257
Ni,3000,0.03745,0.02107
Ni,4000,0.03444,0.02066
Ni,5000,0.03289,0.0207
Ni,6000,0.0321,0.02094
Ni,8000,0.03164,0.02163
Ni,10000,0.03185,0.02234
Ni,15000,0.0332,0.02368
Ni,20000,0.03476,0.02446
O,1,4590,4576
O,1.5,1549,1545
O,2,694.9,692.6
O,3,217.1,215.8
O,4,93.15,92.21
O,5,47.9,47.15
O,6,27.7,27.08
O,8,11.63,11.16
O,10,5.952,5.565
O,15,1.836,1.545
O,20,0.8651,0.6179
O,30,0.3779,0.1729
O,40,0.2585,0.0753
O,50,0.2132,0.04414
O,60,0.1907,0.03207
O,80,0.1678,0.02468
O,100,0.1551,0.02355
O,150,0.1361,0.02506
O,200,0.1237,0.02679
O,300,0.107,0.02877
O,400,0.09566,0.02953
O,500,0.08729,0.02971
O,600,0.0807,0.02957
O,800,0.07087,0.02887
O,1000,0.06372,0.02794
O,1250,0.05697,0.02669
O,1500,0.05185,0.02551
O,2000,0.04459,0.0235
O,3000,0.03597,0.02066
O,4000,0.031,0.01882
O,5000,0.02777,0.01757
O,6000,0.02552,0.01668
O,8000,0.02263,0.01553
O,10000,0.02089,0.01483
O,15000,0.01866,0.01396
O,20000,0.0177,0.0136
Os,1,4032,4019
Os,1.5,1801,1790
Os,1.9601,1023,1012
Os,1.9601,2003,1969
Os,2,2218,2179
Os,2.0308,2622,2573
Os,2.0308,2864,2810
Os,2.23385,2852,2797
Os,2.4572,2546,2498
Os,2.4572,2948,2893
Os,2.61935,2524,2478
Os,2.7922,2161,2123
Os,2.7922,2296,2255
Os,3,1938,1904
Os,3.0485,1869,1836
Os,3.0485,1949,1915
Os,4,1023,1004
Os,5,593.6,581.3
Os,6,377.6,368.2
Os,8,183.6,177
Os,10,104.5,99.4
Os,10.8709,84.58,79.94
Os,10.8709,212.1,176.2
Os,11.6033,186,149.5
Os,12.385,150.3,127.1
Os,12.385,206,165.4
Os,12.6731,195.6,157.6
Os,12.968,184.6,149.4
Os,12.968,212.9,171.1
Os,15,147.8,121.8
Os,20,70.39,59.99
Os,30,24.43,21.2
Os,40,11.49,9.907
Os,50,6.414,5.437
Os,60,4.002,3.314
Os,73.8708,2.36,1.879
Os,73.8708,10.16,2.888
Os,80,8.29,2.756
Os,100,4.696,2.092
Os,150,1.68,0.9696
Os,200,0.8327,0.515
Os,300,0.3414,0.2085
Os,400,0.2011,0.1161
Os,500,0.1428,0.07813
Os,600,0.1125,0.05923
Os,800,0.08224,0.04157
Os,1000,0.06705,0.03351
Os,1250,0.05625,0.02802
Os,1500,0.05034,0.02511
Os,2000,0.04458,0.02272
Os,3000,0.041,0.02248
Os,4000,0.04065,0.02376
Os,5000,0.04134,0.02523
Os,6000,0.04244,0.02663
Os,8000,0.04511,0.02901
Os,10000,0.04791,0.03086
Os,15000,0.05442,0.03375
Os,20000,0.05956,0.03486
P,1,1913,1910
P,1.5,654.7,652.2
P,2,301.8,299.6
P,2.1455,249.4,247.3
P,2.1455,2473,2343
P,3,1118,1074
P,4,524.2,507.9
P,5,286,278.2
P,6,172.6,168.2
P,8,76.6,74.57
P,10,40.35,39.12
P,15,12.39,11.79
P,20,5.352,4.939
P,30,1.7,1.422
P,40,0.8096,0.585
P,50,0.4916,0.2965
P,60,0.3494,0.1735
P,80,0.2324,0.08083
P,100,0.1865,0.05068
P,150,0.1432,0.03188
P,200,0.125,0.02899
P,300,0.1055,0.0287
P,400,0.09359,0.02892
P,500,0.08511,0.02891
P,600,0.07854,0.02869
P,800,0.06884,0.02793
P,1000,0.06182,0.02698
P,1250,0.05526,0.02575
P,1500,0.05039,0.02462
P,2000,0.04358,0.02279
P,3000,0.0359,0.02049
P,4000,0.03172,0.01921
P,5000,0.02915,0.01846
P,6000,0.02747,0.01801
P,8000,0.02552,0.0176
P,10000,0.02452,0.01747
P,15000,0.02364,0.01754
P,20000,0.02363,0.01771
Pa,1,6530,6515
Pa,1.00334,6490,6476
Pa,1.0067,6451,6437
Pa,1.0067,6868,6853
Pa,1.11018,5755,5740
Pa,1.2243,4794,4780
Pa,1.2243,4863,4848
Pa,1.30316,4311,4296
Pa,1.3871,3815,3801
Pa,1.3871,3891,3877
Pa,1.5,3327,3313
Pa,2,1834,1821
Pa,3,755.8,744.4
Pa,3.4418,554.8,544
Pa,3.4418,1363,1314
Pa,3.52548,1266,1222
Pa,3.6112,1185,1144
Pa,3.6112,1695,1628
Pa,4,1315,1265
Pa,4.1738,1182,1139
Pa,4.1738,1374,1324
Pa,5,875.9,845.4
Pa,5.0009,875.5,845
Pa,5.0009,928.8,896.4
Pa,5.18067,851.4,821.9
Pa,5.3669,781,754.1
Pa,5.3669,814.4,786.4
Pa,6,621.7,600.4
Pa,8,307.4,295.8
Pa,10,176.9,169
Pa,15,64.42,60
Pa,16.7331,49.03,45.22
Pa,16.7331,113,84.83
Pa,20,70.25,54.86
Pa,20.3137,67.47,52.84
Pa,20.3137,94.52,67.04
Pa,20.7054,89.95,64.18
Pa,21.1046,85.76,61.53
Pa,21.1046,98.61,69.9
Pa,30,40.77,31.46
Pa,40,19.57,15.67
Pa,50,11.05,8.95
Pa,60,6.929,5.612
Pa,80,3.342,2.655
Pa,100,1.924,1.477
Pa,112.601,1.445,1.081
Pa,112.601,5.198,1.466
Pa,150,2.575,1.106
Pa,200,1.288,0.6792
Pa,300,0.5152,0.3042
Pa,400,0.2904,0.1723
Pa,500,0.1969,0.1146
Pa,600,0.1487,0.08453
Pa,800,0.1018,0.05563
Pa,1000,0.07937,0.04247
Pa,1250,0.0642,0.03367
Pa,1500,0.05637,0.02911
Pa,2000,0.04927,0.02547
Pa,3000,0.04496,0.02463
Pa,4000,0.04445,0.0258
Pa,5000,0.04519,0.02727
Pa,6000,0.04641,0.0287
Pa,8000,0.04943,0.03117
Pa,10000,0.05261,0.03311
Pa,15000,0.06,0.03609
Pa,20000,0.06592,0.03724
Pb,1,5210,5197
Pb,1.5,2356,2344
Pb,2,1285,1274
Pb,2.484,800.6,789.5
Pb,2.484,1397,1366
Pb,2.53429,1726,1682
Pb,2.5856,1944,1895
Pb,2.5856,2458,2390
Pb,3,1965,1913
Pb,3.0664,1857,1808
Pb,3.0664,2146,2090
Pb,3.3013,1796,1748
Pb,3.5542,1496,1459
Pb,3.5542,1585,1546
Pb,3.69948,1442,1405
Pb,3.8507,1311,1279
Pb,3.8507,1368,1335
Pb,4,1251,1221
Pb,5,730.4,712.4
Pb,6,467.2,454.6
Pb,8,228.7,220.7
Pb,10,130.6,124.7
Pb,13.0352,67.01,62.7
Pb,13.0352,162.1,129.1
Pb,15,111.6,91
Pb,15.2,107.8,88.07
Pb,15.2,148.5,113.1
Pb,15.5269,141.6,108.3
Pb,15.8608,134.4,103.2
Pb,15.8608,154.8,118
Pb,20,86.36,68.99
Pb,30,30.32,25.36
Pb,40,14.36,12.11
Pb,50,8.041,6.74
Pb,60,5.021,4.149
Pb,80,2.419,1.916
Pb,88.0045,1.91,1.482
Pb,88.0045,7.683,2.16
Pb,100,5.549,1.976
Pb,150,2.014,1.056
Pb,200,0.9985,0.587
Pb,300,0.4031,0.2455
Pb,400,0.2323,0.137
Pb,500,0.1614,0.09128
Pb,600,0.1248,0.06819
Pb,800,0.0887,0.04644
Pb,1000,0.07102,0.03654
Pb,1250,0.05876,0.02988
Pb,1500,0.05222,0.0264
Pb,2000,0.04606,0.0236
Pb,3000,0.04234,0.02322
Pb,4000,0.04197,0.02449
Pb,5000,0.04272,0.026
Pb,6000,0.04391,0.02744
Pb,8000,0.04675,0.02989
Pb,10000,0.04972,0.03181
Pb,15000,0.05658,0.03478
Pb,20000,0.06206,0.03595
Pd,1,6538,6529
Pd,1.5,2579,2571
Pd,2,1292,1285
Pd,3,473,466.8
Pd,3.1733,410.6,404.7
Pd,3.1733,1355,1305
Pd,3.25085,1287,1238
Pd,3.3303,1215,1171
Pd,3.3303,1664,1597
Pd,3.46459,1518,1456
Pd,3.6043,1379,1326
Pd,3.6043,1582,1520
Pd,4,1227,1182
Pd,5,691.2,668.8
Pd,6,430.8,417.5
Pd,8,201.7,195.3
Pd,10,111,107
Pd,15,37.15,35.11
Pd,20,17.04,15.71
Pd,24.3503,10.03,9.016
Pd,24.3503,58.98,22.08
Pd,30,34.65,16.69
Pd,40,16.14,9.611
Pd,50,8.85,5.833
Pd,60,5.399,3.759
Pd,80,2.481,1.804
Pd,100,1.377,1
Pd,150,0.5115,0.3397
Pd,200,0.2827,0.1644
Pd,300,0.1506,0.07007
Pd,400,0.1103,0.04611
Pd,500,0.09134,0.03704
Pd,600,0.0801,0.03262
Pd,800,0.06669,0.02828
Pd,1000,0.05849,0.02594
Pd,1250,0.05159,0.02395
Pd,1500,0.04702,0.02259
Pd,2000,0.04162,0.02112
Pd,3000,0.03704,0.02056
Pd,4000,0.03552,0.02111
Pd,5000,0.03518,0.02196
Pd,6000,0.03537,0.02284
Pd,8000,0.03651,0.02453
Pd,10000,0.03802,0.02595
Pd,15000,0.04181,0.02832
Pd,20000,0.04501,0.02944
Pm,1,2056,2046
Pm,1.01336,2007,1997
Pm,1.0269,1959,1949
Pm,1.0269,2729,2715
Pm,1.03913,3894,3874
Pm,1.0515,5830,5801
Pm,1.0515,7242,7205
Pm,1.19448,7232,7196
Pm,1.3569,5687,5660
Pm,1.3569,6555,6524
Pm,1.41299,5985,5956
Pm,1.4714,5466,5439
Pm,1.4714,5799,5770
Pm,1.5,5553,5526
Pm,1.653,4497,4474
Pm,1.653,4699,4676
Pm,2,3048,3031
Pm,3,1162,1152
Pm,4,570.9,563.3
Pm,5,326,319.6
Pm,6,205.3,199.8
Pm,6.4593,170.2,164.9
Pm,6.4593,467.8,426.7
Pm,6.73036,422.6,386.4
Pm,7.0128,380.5,348.7
Pm,7.0128,517.4,465.7
Pm,7.21737,488.4,435.9
Pm,7.4279,449.4,406.2
Pm,7.4279,518.4,466.9
Pm,8,431.4,390.8
Pm,10,244,224
Pm,15,84.11,77.99
Pm,20,39.16,36.14
Pm,30,13.27,11.93
Pm,40,6.181,5.366
Pm,45.184,4.491,3.816
Pm,45.184,22.65,6.93
Pm,50,17.35,6.363
Pm,60,10.87,4.989
Pm,80,5.107,2.904
Pm,100,2.84,1.776
Pm,150,1.005,0.6699
Pm,200,0.5098,0.3302
Pm,300,0.2273,0.1301
Pm,400,0.1462,0.07517
Pm,500,0.1115,0.05369
Pm,600,0.09276,0.04323
Pm,800,0.0728,0.03349
Pm,1000,0.06188,0.02889
Pm,1250,0.0535,0.02553
Pm,1500,0.04849,0.0236
Pm,2000,0.04308,0.02184
Pm,3000,0.03925,0.02166
Pm,4000,0.03849,0.02273
Pm,5000,0.03882,0.02405
Pm,6000,0.03959,0.02532
Pm,8000,0.04169,0.02754
Pm,10000,0.04401,0.02933
Pm,15000,0.04946,0.03222
Pm,20000,0.0538,0.03344
Po,1,5724,5710
Po,1.5,2604,2591
Po,2,1423,1411
Po,2.683,748.2,736.9
Po,2.683,2206,2142
Po,2.7399,1941,1884
Po,2.798,1775,1726
Po,2.798,2711,2625
Po,3,2155,2090
Po,3.3019,1693,1645
Po,3.3019,1956,1900
Po,3.56733,1622,1576
Po,3.8541,1339,1303
Po,3.8541,1419,1381
Po,4,1299,1264
Po,4.1494,1190,1158
Po,4.1494,1242,1209
Po,5,793.1,772.1
Po,6,508.5,494.2
Po,8,249.4,240.6
Po,10,142.7,136.3
Po,13.8138,63.37,59.1
Po,13.8138,151.3,118.9
Po,15,121.9,97.28
Po,16.2443,98.49,79.65
Po,16.2443,136.1,101.9
Po,16.5882,129.7,97.55
Po,16.9393,123.2,93.08
Po,16.9393,142,106.3
Po,20,93.52,72.78
Po,30,33.03,27.21
Po,40,15.69,13.11
Po,50,8.802,7.334
Po,60,5.499,4.532
Po,80,2.649,2.103
Po,93.105,1.82,1.4
Po,93.105,7.14,2.005
Po,100,5.991,1.936
Po,150,2.17,1.095
Po,200,1.078,0.6207
Po,300,0.4335,0.263
Po,400,0.2483,0.1471
Po,500,0.1714,0.09781
Po,600,0.1318,0.07281
Po,800,0.09286,0.04916
Po,1000,0.07391,0.03839
Po,1250,0.06087,0.03117
Po,1500,0.05394,0.0274
Po,2000,0.04749,0.02438
Po,3000,0.04362,0.02392
Po,4000,0.04323,0.02521
Po,5000,0.04399,0.02674
Po,6000,0.04522,0.02822
Po,8000,0.04816,0.03074
Po,10000,0.05124,0.03271
Po,15000,0.05835,0.03577
Po,20000,0.06398,0.03694
Pr,1,10580,10540
Pr,1.11454,8122,8091
Pr,1.2422,6278,6254
Pr,1.2422,7224,7196
Pr,1.28892,6661,6635
Pr,1.3374,6142,6118
Pr,1.3374,6513,6487
Pr,1.5,5090,5069
Pr,1.511,5006,4986
Pr,1.511,5235,5214
Pr,2,2768,2755
Pr,3,1047,1038
Pr,4,513.1,506.1
Pr,5,292.4,286.5
Pr,5.9643,186.8,181.6
Pr,5.9643,521.4,480.2
Pr,6,514.5,473.9
Pr,6.4404,431,398.4
Pr,6.4404,585.7,533.3
Pr,6.63467,545.5,497.6
Pr,6.8348,506,462.5
Pr,6.8348,583.6,531.7
Pr,8,395,363.4
Pr,10,220.9,205.2
Pr,15,75.97,70.94
Pr,20,35.26,32.67
Pr,30,11.92,10.72
Pr,40,5.557,4.803
Pr,41.9906,4.892,4.192
Pr,41.9906,25.18,7.833
Pr,50,15.99,6.567
Pr,60,9.977,4.942
Pr,80,4.664,2.773
Pr,100,2.588,1.667
Pr,150,0.918,0.6172
Pr,200,0.4687,0.3025
Pr,300,0.2126,0.1195
Pr,400,0.1389,0.0698
Pr,500,0.1071,0.05047
Pr,600,0.08976,0.04107
Pr,800,0.07105,0.03229
Pr,1000,0.0607,0.02811
Pr,1250,0.05268,0.02503
Pr,1500,0.04779,0.0232
Pr,2000,0.04244,0.02152
Pr,3000,0.03858,0.02131
Pr,4000,0.03774,0.02233
Pr,5000,0.038,0.02359
Pr,6000,0.0387,0.02481
Pr,8000,0.04067,0.02697
Pr,10000,0.04288,0.02872
Pr,15000,0.04809,0.03155
Pr,20000,0.05226,0.03277
Pt,1,4433,4421
Pt,1.5,1986,1974
Pt,2,1081,1069
Pt,2.1216,950.6,939.3
Pt,2.1216,1034,1021
Pt,2.16138,1431,1405
Pt,2.2019,2341,2292
Pt,2.2019,2487,2434
Pt,2.41348,2512,2457
Pt,2.6454,2307,2258
Pt,2.6454,2663,2606
Pt,3,1965,1925
Pt,3.0265,1923,1884
Pt,3.0265,2041,2000
Pt,3.15838,1844,1806
Pt,3.296,1671,1637
Pt,3.296,1742,1707
Pt,4,1100,1078
Pt,5,640.2,626.2
Pt,6,408.3,397.9
Pt,8,198.7,191.7
Pt,10,113.2,107.8
Pt,11.5637,78.44,73.88
Pt,11.5637,194.6,159.4
Pt,12.3887,161.8,133.9
Pt,13.2726,134.9,112.7
Pt,13.2726,185.3,146.3
Pt,13.5729,184.8,139.5
Pt,13.8799,166.6,132.5
Pt,13.8799,192.1,151.7
Pt,15,157.8,126.5
Pt,20,75.74,63.33
Pt,30,26.41,22.68
Pt,40,12.45,10.67
Pt,50,6.954,5.879
Pt,60,4.339,3.595
Pt,78.3948,2.203,1.738
Pt,78.3948,9.301,2.627
Pt,80,8.731,2.592
Pt,100,4.993,2.081
Pt,150,1.795,1.006
Pt,200,0.8896,0.5413
Pt,300,0.3625,0.2216
Pt,400,0.2118,0.1233
Pt,500,0.1492,0.08265
Pt,600,0.1168,0.0623
Pt,800,0.08456,0.04325
Pt,1000,0.06857,0.03459
Pt,1250,0.05727,0.02871
Pt,1500,0.05112,0.0256
Pt,2000,0.04522,0.02307
Pt,3000,0.0416,0.02279
Pt,4000,0.04124,0.02408
Pt,5000,0.04196,0.02557
Pt,6000,0.0431,0.02699
Pt,8000,0.04584,0.02939
Pt,10000,0.04872,0.03127
Pt,15000,0.05537,0.03418
Pt,20000,0.06064,0.03529
Ra,1,6201,6187
Ra,1.0284,5895,5881
Ra,1.0576,5602,5588
Ra,1.0576,5683,5669
Ra,1.13049,5019,5005
Ra,1.2084,4424,4411
Ra,1.2084,4516,4502
Ra,1.5,2950,2937
Ra,2,1620,1608
Ra,3,666.4,655.5
Ra,3.1049,616.9,606.1
Ra,3.1049,1715,1657
Ra,3.17584,1506,1457
Ra,3.2484,1374,1331
Ra,3.2484,2039,1965
Ra,3.5096,1647,1587
Ra,3.7918,1342,1297
Ra,3.7918,1558,1506
Ra,4,1367,1322
Ra,4.4895,1024,991.7
Ra,4.4895,1086,1052
Ra,4.65278,999.5,964.3
Ra,4.822,912.9,884.6
Ra,4.822,952.2,922.8
Ra,5,874.1,847.2
Ra,6,561.3,543.8
Ra,8,276.9,266.9
Ra,10,158.9,151.9
Ra,15,57.6,53.53
Ra,15.4444,53.55,49.62
Ra,15.4444,125.3,95.81
Ra,16.8961,98.39,76.77
Ra,18.4843,77.66,61.6
Ra,18.4843,108.1,78.35
Ra,18.8568,112.6,75
Ra,19.2367,97.99,71.75
Ra,19.2367,112.8,81.72
Ra,20,102.3,74.96
Ra,30,36.64,29.13
Ra,40,17.5,14.29
Ra,50,9.85,8.088
Ra,60,6.166,5.039
Ra,80,2.971,2.363
Ra,100,1.712,1.308
Ra,103.922,1.56,1.181
Ra,103.922,5.826,1.638
Ra,150,2.355,1.091
Ra,200,1.172,0.644
Ra,300,0.4696,0.2811
Ra,400,0.2662,0.158
Ra,500,0.1817,0.105
Ra,600,0.1383,0.07772
Ra,800,0.09579,0.05165
Ra,1000,0.07535,0.03983
Ra,1250,0.06141,0.03191
Ra,1500,0.05415,0.02779
Ra,2000,0.04751,0.02452
Ra,3000,0.04348,0.02387
Ra,4000,0.04304,0.02509
Ra,5000,0.04379,0.02658
Ra,6000,0.045,0.02802
Ra,8000,0.04793,0.0305
Ra,10000,0.05102,0.03245
Ra,15000,0.05815,0.03549
Ra,20000,0.06383,0.03668
Rb,1,3174,3168
Rb,1.5,1219,1213
Rb,1.8044,778.2,772.6
Rb,1.8044,3096,3040
Rb,1.83391,2969,2915
Rb,1.8639,2861,2810
Rb,1.8639,3957,3880
Rb,2,3410,3347
Rb,2.0651,3153,3096
Rb,2.0651,3606,3540
Rb,3,1418,1397
Rb,4,674.8,664.8
Rb,5,374.4,368.2
Rb,6,230,225.5
Rb,8,105.8,102.8
Rb,10,57.66,55.41
Rb,15,19.09,17.75
Rb,15.1997,18.42,17.09
Rb,15.1997,120.8,58.64
Rb,20,59.8,35.81
Rb,30,20.09,14.36
Rb,40,9.112,6.963
Rb,50,4.918,3.858
Rb,60,2.979,2.349
Rb,80,1.375,1.056
Rb,100,0.7799,0.5649
Rb,150,0.3187,0.1881
Rb,200,0.196,0.09465
Rb,300,0.1219,0.0469
Rb,400,0.0967,0.03531
Rb,500,0.0836,0.03098
Rb,600,0.0751,0.02878
Rb,800,0.06412,0.02638
Rb,1000,0.05689,0.02484
Rb,1250,0.05053,0.02332
Rb,1500,0.04613,0.02217
Rb,2000,0.04061,0.02074
Rb,3000,0.03545,0.01983
Rb,4000,0.03335,0.01996
Rb,5000,0.0325,0.02045
Rb,6000,0.03227,0.02105
Rb,8000,0.03267,0.02231
Rb,10000,0.03357,0.02343
Rb,15000,0.0361,0.02538
Rb,20000,0.03845,0.02645
Re,1,3872,3860
Re,1.5,1729,1717
Re,1.8224,1147,1135
Re,1.8224,1152,1141
Re,1.88459,1251,1235
Re,1.9489,2689,2642
Re,1.9489,3802,3730
Re,2,3773,3702
Re,2.3673,2696,2648
Re,2.3673,3124,3069
Re,2.51955,2686,2639
Re,2.6816,2309,2270
Re,2.6816,2454,2412
Re,2.80386,2210,2174
Re,2.9317,1992,1959
Re,2.9317,2078,2043
Re,3,1972,1939
Re,4,994.3,977.1
Re,5,575.9,564.2
Re,6,366,356.9
Re,8,177.8,171.4
Re,10,101.1,96.1
Re,10.5353,88.58,83.86
Re,10.5353,223.4,186.9
Re,11.2245,196.4,159.4
Re,11.9587,160,136
Re,11.9587,219.1,177.6
Re,12.2394,207.9,169
Re,12.5267,196.1,160
Re,12.5267,226.2,183.4
Re,15,144,120.1
Re,20,68.35,58.76
Re,30,23.67,20.64
Re,40,11.12,9.614
Re,50,6.206,5.265
Re,60,3.872,3.205
Re,71.6764,2.464,1.97
Re,71.6764,10.73,3.058
Re,80,8.069,2.832
Re,100,4.587,2.107
Re,150,1.637,0.958
Re,200,0.8119,0.5054
Re,300,0.3339,0.2038
Re,400,0.1976,0.1135
Re,500,0.1409,0.07658
Re,600,0.1114,0.05822
Re,800,0.08179,0.04109
Re,1000,0.06688,0.03327
Re,1250,0.05627,0.02794
Re,1500,0.05038,0.02508
Re,2000,0.04463,0.02273
Re,3000,0.04105,0.02251
Re,4000,0.04068,0.0238
Re,5000,0.04137,0.02527
Re,6000,0.04246,0.02667
Re,8000,0.04511,0.02906
Re,10000,0.0479,0.03092
Re,15000,0.05437,0.03382
Re,20000,0.05953,0.03496
Rh,1,6169,6160
Rh,1.5,2426,2419
Rh,2,1214,1207
Rh,3,444.1,438.2
Rh,3.0038,442.7,436.8
Rh,3.0038,1513,1461
Rh,3.07413,1422,1372
Rh,3.1461,1337,1292
Rh,3.1461,1847,1777
Rh,3.27631,1671,1608
Rh,3.4119,1512,1458
Rh,3.4119,1731,1669
Rh,4,1170,1132
Rh,5,658.9,639.6
Rh,6,410.1,398.5
Rh,8,191.5,185.7
Rh,10,105.3,101.5
Rh,15,35.18,33.22
Rh,20,16.13,14.84
Rh,23.2199,10.79,9.736
Rh,23.2199,64.14,24.58
Rh,30,33.3,16.99
Rh,40,15.44,9.52
Rh,50,8.448,5.706
Rh,60,5.147,3.649
Rh,80,2.365,1.737
Rh,100,1.314,0.9581
Rh,150,0.4916,0.3241
Rh,200,0.2742,0.1571
Rh,300,0.1485,0.06776
Rh,400,0.1097,0.04517
Rh,500,0.09134,0.03663
Rh,600,0.08035,0.03247
Rh,800,0.06711,0.02834
Rh,1000,0.05894,0.02608
Rh,1250,0.05204,0.02413
Rh,1500,0.04744,0.02278
Rh,2000,0.04197,0.02131
Rh,3000,0.03728,0.02071
Rh,4000,0.03568,0.02122
Rh,5000,0.03529,0.02204
Rh,6000,0.03542,0.0229
Rh,8000,0.0365,0.02456
Rh,10000,0.03797,0.02597
Rh,15000,0.04166,0.02831
Rh,20000,0.04481,0.02943
Rn,1,5826,5812
Rn,1.04738,5354,5340
Rn,1.097,4909,4895
Rn,1.097,5013,5000
Rn,1.5,2719,2706
Rn,2,1490,1478
Rn,2.8924,663.4,652.6
Rn,2.8924,2319,2243
Rn,3,1554,1507
Rn,3.0215,1524,1479
Rn,3.0215,2470,2384
Rn,3.26957,1867,1804
Rn,3.538,1479,1433
Rn,3.538,1710,1657
Rn,4,1266,1229
Rn,4.159,1148,1115
Rn,4.159,1217,1182
Rn,4.31748,1112,1080
Rn,4.482,1017,987.7
Rn,4.482,1061,1031
Rn,5,816.3,793.1
Rn,6,524,508.5
Rn,8,257.7,248.5
Rn,10,147.7,141.1
Rn,14.6194,56.97,52.96
Rn,14.6194,134.4,104.2
Rn,15,125.9,98.07
Rn,17.3371,85.57,68.51
Rn,17.3371,118.5,87.24
Rn,17.6895,122.5,83.66
Rn,18.049,107.7,80.02
Rn,18.049,124.1,91.3
Rn,20,95.63,72.31
Rn,30,34.08,27.6
Rn,40,16.24,13.42
Rn,50,9.125,7.552
Rn,60,5.706,4.686
Rn,80,2.749,2.185
Rn,98.404,1.649,1.258
Rn,98.404,6.371,1.779
Rn,100,6.086,1.766
Rn,150,2.215,1.073
Rn,200,1.101,0.6204
Rn,300,0.442,0.2668
Rn,400,0.2518,0.1496
Rn,500,0.1728,0.09941
Rn,600,0.1322,0.07377
Rn,800,0.0923,0.04942
Rn,1000,0.07303,0.03832
Rn,1250,0.05984,0.03089
Rn,1500,0.0529,0.02704
Rn,2000,0.04649,0.02396
Rn,3000,0.04264,0.02344
Rn,4000,0.04224,0.02469
Rn,5000,0.04298,0.0262
Rn,6000,0.04418,0.02766
Rn,8000,0.04705,0.03016
Rn,10000,0.05007,0.03216
Rn,15000,0.05704,0.03534
Rn,20000,0.0626,0.0367
Ru,1,5718,5709
Ru,1.5,2240,2233
Ru,2,1120,1113
Ru,2.8379,470.4,464.6
Ru,2.8379,1644,1591
Ru,2.90168,1542,1492
Ru,2.9669,1452,1407
Ru,2.9669,2317,2233
Ru,3,1963,1894
Ru,3.224,1638,1584
Ru,3.224,1874,1811
Ru,4,1095,1063
Ru,5,616.5,600
Ru,6,383.2,373.1
Ru,8,178.5,173.3
Ru,10,98,94.56
Ru,15,32.7,30.85
Ru,20,14.99,13.76
Ru,22.1172,11.43,10.35
Ru,22.1172,68.76,27
Ru,30,31.39,16.89
Ru,40,14.52,9.251
Ru,50,7.926,5.477
Ru,60,4.822,3.476
Ru,80,2.215,1.641
Ru,100,1.232,0.9012
Ru,150,0.4647,0.3037
Ru,200,0.2618,0.1475
Ru,300,0.144,0.06445
Ru,400,0.1074,0.04355
Ru,500,0.08992,0.03567
Ru,600,0.07933,0.03182
Ru,800,0.06647,0.02796
Ru,1000,0.05846,0.02581
Ru,1250,0.05166,0.02393
Ru,1500,0.0471,0.02262
Ru,2000,0.04164,0.02115
Ru,3000,0.03692,0.02052
Ru,4000,0.03527,0.02098
Ru,5000,0.03482,0.02176
Ru,6000,0.03491,0.02259
Ru,8000,0.03591,0.02419
Ru,10000,0.0373,0.02556
Ru,15000,0.04084,0.02783
Ru,20000,0.04387,0.02893
S,1,2429,2426
S,1.5,834.2,831.4
S,2,385.3,382.8
S,2.472,216.8,214.5
S,2.472,2070,1935
S,3,1339,1265
S,4,633.8,606.6
S,5,348.7,336
S,6,211.6,204.6
S,8,94.65,91.71
S,10,50.12,48.47
S,15,15.5,14.77
S,20,6.708,6.235
S,30,2.113,1.809
S,40,0.9872,0.7466
S,50,0.5849,0.3779
S,60,0.4053,0.2199
S,80,0.2585,0.1
S,100,0.202,0.06052
S,150,0.1506,0.03516
S,200,0.1302,0.0308
S,300,0.1091,0.02983
S,400,0.09665,0.02991
S,500,0.08781,0.02984
S,600,0.08102,0.02959
S,800,0.07098,0.02878
S,1000,0.06373,0.0278
S,1250,0.05697,0.02652
S,1500,0.05193,0.02535
S,2000,0.04498,0.02349
S,3000,0.03715,0.02118
S,4000,0.03293,0.01993
S,5000,0.03036,0.01923
S,6000,0.02872,0.01884
S,8000,0.02682,0.0185
S,10000,0.02589,0.01845
S,15000,0.02517,0.01864
S,20000,0.02529,0.01889
Sb,1,8582,8568
Sb,1.5,3491,3481
Sb,2,1767,1759
Sb,3,653.6,646.9
Sb,4,316.9,311.3
Sb,4.1322,291.8,286.3
Sb,4.1322,869.1,825.2
Sb,4.25449,830.8,786.5
Sb,4.3804,777.6,739.2
