# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics-option4.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,38.2,1889361.598
1.7,40,1,38.3,4318540.795
1.7,40,1,38.4,1349543.999
1.7,40,1,38.5,539817.5994
1.7,40,1,38.6,1889361.598
1.7,40,1,38.7,809726.3991
1.7,40,1,38.8,2429179.197
1.7,40,1,38.9,1349543.999
1.7,40,1,39,539817.5994
1.7,40,1,39.1,1079635.199
1.7,40,1,39.2,1349543.999
1.7,40,1,39.3,809726.3991
1.7,40,1,39.4,1619452.798
1.7,40,1,39.5,1079635.199
1.7,40,1,39.6,809726.3991
1.7,40,1,39.7,539817.5994
1.7,40,1,39.8,269908.7997
1.7,40,1,39.9,269908.7997
1.7,80,1,3,285484.5644
1.7,80,1,3.3,285484.5644
1.7,80,1,3.4,285484.5644
1.7,80,1,3.5,570969.1289
1.7,80,1,3.6,285484.5644
1.7,80,1,3.7,1427422.822
1.7,80,1,3.8,1998391.951
1.7,80,1,3.9,2283876.515
1.7,80,1,4,2569361.08
1.7,80,1,4.1,3711299.338
1.7,80,1,4.2,3425814.773
1.7,80,1,4.3,2283876.515
1.7,80,1,4.4,5995175.853
1.7,80,1,4.5,6566144.982
1.7,80,1,4.6,8279052.369
1.7,80,1,4.7,8564536.933
1.7,80,1,4.8,7993567.804
1.7,80,1,4.9,7422598.675
1.7,80,1,5,11133898.01
1.7,80,1,5.1,12846805.4
1.7,80,1,5.2,14274228.22
1.7,80,1,5.3,11990351.71
1.7,80,1,5.4,13988743.66
1.7,80,1,5.5,15416166.48
1.7,80,1,5.6,16272620.17
1.7,80,1,5.7,17129073.87
1.7,80,1,5.8,18841981.25
1.7,80,1,5.9,17985527.56
1.7,80,1,6,21125857.77
1.7,80,1,6.1,21411342.33
1.7,80,1,6.2,16558104.74
1.7,80,1,6.3,18556496.69
1.7,80,1,6.4,23124249.72
1.7,80,1,6.5,28262971.88
1.7,80,1,6.6,22553280.59
1.7,80,1,6.7,22553280.59
1.7,80,1,6.8,27692002.75
1.7,80,1,6.9,29404910.14
1.7,80,1,7,26264579.93
1.7,80,1,7.1,26550064.49
1.7,80,1,7.2,23695218.85
1.7,80,1,7.3,27977487.31
1.7,80,1,7.4,60237243.1
1.7,80,1,7.5,28262971.88
1.7,80,1,7.6,27406518.19
1.7,80,1,7.7,33116209.47
1.7,80,1,7.8,31688786.65
1.7,80,1,7.9,28262971.88
1.7,80,1,8,25979095.36
1.7,80,1,8.1,29404910.14
1.7,80,1,8.2,28548456.44
1.7,80,1,8.3,113622856.6
1.7,80,1,8.4,755392157.5
1.7,80,1,8.5,27406518.19
1.7,80,1,8.6,31117817.52
1.7,80,1,8.7,28262971.88
1.7,80,1,8.8,38254931.63
1.7,80,1,8.9,30261363.83
1.7,80,1,9,27121033.62
1.7,80,1,9.1,29119425.57
1.7,80,1,9.2,27406518.19
1.7,80,1,9.3,28548456.44
1.7,80,1,9.4,30546848.39
1.7,80,1,9.5,47675922.26
1.7,80,1,9.6,44250107.49
1.7,80,1,9.7,375697686.8
1.7,80,1,9.8,58524335.71
1.7,80,1,9.9,45677530.31
1.7,80,1,10,190418204.5
1.7,80,1,10.1,29975879.27
1.7,80,1,10.2,34258147.73
1.7,80,1,10.3,24837157.11
1.7,80,1,10.4,21125857.77
1.7,80,1,10.5,23980703.41
1.7,80,1,10.6,24551672.54
