# Transmission tube source spectra, Geant4 physics model G4EmLivermorePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,28.7,9036239.212
1.7,40,1,28.8,6231889.111
1.7,40,1,28.9,5608700.2
1.7,40,1,29,7166672.478
1.7,40,1,29.1,6543483.567
1.7,40,1,29.2,8413050.3
1.7,40,1,29.3,11528994.86
1.7,40,1,29.4,5920294.656
1.7,40,1,29.5,5608700.2
1.7,40,1,29.6,6543483.567
1.7,40,1,29.7,5920294.656
1.7,40,1,29.8,4362322.378
1.7,40,1,29.9,5608700.2
1.7,40,1,30,5297105.745
1.7,40,1,30.1,4985511.289
1.7,40,1,30.2,5920294.656
1.7,40,1,30.3,4985511.289
1.7,40,1,30.4,5608700.2
1.7,40,1,30.5,4673916.834
1.7,40,1,30.6,3739133.467
1.7,40,1,30.7,6543483.567
1.7,40,1,30.8,6855078.023
1.7,40,1,30.9,6855078.023
1.7,40,1,31,5608700.2
1.7,40,1,31.1,4050727.922
1.7,40,1,31.2,4985511.289
1.7,40,1,31.3,3427539.011
1.7,40,1,31.4,4985511.289
1.7,40,1,31.5,6543483.567
1.7,40,1,31.6,4673916.834
1.7,40,1,31.7,3739133.467
1.7,40,1,31.8,4985511.289
1.7,40,1,31.9,2492755.645
1.7,40,1,32,2492755.645
1.7,40,1,32.1,4673916.834
1.7,40,1,32.2,3427539.011
1.7,40,1,32.3,2492755.645
1.7,40,1,32.4,4673916.834
1.7,40,1,32.5,5920294.656
1.7,40,1,32.6,3739133.467
1.7,40,1,32.7,2181161.189
1.7,40,1,32.8,5297105.745
1.7,40,1,32.9,4362322.378
1.7,40,1,33,4362322.378
1.7,40,1,33.1,3739133.467
1.7,40,1,33.2,4985511.289
1.7,40,1,33.3,3115944.556
1.7,40,1,33.4,4362322.378
1.7,40,1,33.5,4985511.289
1.7,40,1,33.6,4985511.289
1.7,40,1,33.7,3115944.556
1.7,40,1,33.8,3115944.556
1.7,40,1,33.9,1557972.278
1.7,40,1,34,4050727.922
1.7,40,1,34.1,2181161.189
1.7,40,1,34.2,2804350.1
1.7,40,1,34.3,4985511.289
1.7,40,1,34.4,4673916.834
1.7,40,1,34.5,6231889.111
1.7,40,1,34.6,2804350.1
1.7,40,1,34.7,4673916.834
1.7,40,1,34.8,3427539.011
1.7,40,1,34.9,5297105.745
1.7,40,1,35,3739133.467
1.7,40,1,35.1,3115944.556
1.7,40,1,35.2,3115944.556
1.7,40,1,35.3,2804350.1
1.7,40,1,35.4,2804350.1
1.7,40,1,35.5,3739133.467
1.7,40,1,35.6,3427539.011
1.7,40,1,35.7,1869566.733
1.7,40,1,35.8,2804350.1
1.7,40,1,35.9,2492755.645
1.7,40,1,36,3427539.011
1.7,40,1,36.1,3739133.467
1.7,40,1,36.2,3115944.556
1.7,40,1,36.3,2492755.645
1.7,40,1,36.4,3115944.556
1.7,40,1,36.5,1246377.822
1.7,40,1,36.6,2181161.189
1.7,40,1,36.7,2804350.1
1.7,40,1,36.8,1246377.822
1.7,40,1,36.9,1557972.278
1.7,40,1,37,3115944.556
1.7,40,1,37.1,1557972.278
1.7,40,1,37.2,1869566.733
1.7,40,1,37.3,2492755.645
1.7,40,1,37.4,934783.3667
1.7,40,1,37.5,2804350.1
1.7,40,1,37.6,2181161.189
1.7,40,1,37.7,2492755.645
1.7,40,1,37.8,1246377.822
