# Measured source spectrum of ALS Beamline 8.3.2 (Advanced Light Source, LBNL).
# Non-uniform energy bins; energy_keV is the bin edge in keV, photon_counts the counts in the bin.
energy_keV,photon_counts
11.0685,3.27572e+13
11.2228,3.26995e+13
11.3792,3.26317e+13
11.5378,3.25557e+13
11.6987,3.2472e+13
11.8617,3.23818e+13
12.0271,3.22818e+13
12.1947,3.21744e+13
12.3647,3.20606e+13
12.5371,3.19363e+13
12.7118,3.18055e+13
12.889,3.16679e+13
13.0687,3.15219e+13
13.2509,3.13678e+13
13.4356,3.12063e+13
13.6229,3.10379e+13
13.8128,3.08611e+13
14.0053,3.06774e+13
14.2005,3.04868e+13
14.3985,3.02885e+13
14.5992,3.00832e+13
14.8027,2.98711e+13
15.009,2.96519e+13
15.2183,2.94258e+13
15.4304,2.91929e+13
15.6455,2.89534e+13
15.8636,2.87071e+13
16.0847,2.84544e+13
16.3089,2.81956e+13
16.5362,2.79309e+13
16.7668,2.76593e+13
17.0005,2.73819e+13
17.2374,2.7099e+13
17.4777,2.68103e+13
17.7214,2.65158e+13
17.9684,2.6216e+13
18.2189,2.59111e+13
18.4728,2.56011e+13
18.7303,2.5286e+13
18.9914,2.49662e+13
19.2561,2.46417e+13
19.5246,2.4313e+13
19.7967,2.398e+13
20.0727,2.36428e+13
20.3525,2.33018e+13
20.6362,2.29571e+13
20.9238,2.26089e+13
21.2155,2.22574e+13
21.5112,2.1903e+13
21.8111,2.15456e+13
22.1151,2.11856e+13
22.4234,2.08233e+13
22.736,2.04587e+13
23.0529,2.00921e+13
23.3742,1.97237e+13
23.7001,1.93538e+13
24.0304,1.89827e+13
24.3654,1.86104e+13
24.705,1.82373e+13
25.0494,1.78637e+13
25.3986,1.74897e+13
25.7526,1.71156e+13
26.1116,1.67416e+13
26.4756,1.63678e+13
26.8446,1.59948e+13
27.2188,1.56226e+13
27.5983,1.52515e+13
27.983,1.48816e+13
28.373,1.45133e+13
28.7685,1.41469e+13
29.1696,1.37823e+13
29.5762,1.342e+13
29.9884,1.30602e+13
30.4065,1.2703e+13
30.8303,1.23488e+13
31.2601,1.19977e+13
31.6958,1.16498e+13
32.1376,1.13055e+13
32.5856,1.0965e+13
33.0399,1.06284e+13
33.5004,1.02958e+13
33.9674,9.96761e+12
34.4409,9.64377e+12
34.921,9.32461e+12
35.4077,9.01025e+12
35.9013,8.70084e+12
36.4018,8.39653e+12
36.9092,8.09747e+12
37.4237,7.80378e+12
37.9453,7.51558e+12
38.4743,7.23299e+12
39.0106,6.95612e+12
39.5544,6.68507e+12
40.1057,6.41989e+12
40.6648,6.16071e+12
41.2316,5.90759e+12
41.8064,5.66058e+12
42.3891,5.41974e+12
42.98,5.18511e+12
43.5791,4.95672e+12
44.1866,4.73458e+12
44.8025,4.51874e+12
45.4271,4.3092e+12
46.0603,4.10594e+12
46.7023,3.90896e+12
47.3533,3.71823e+12
48.0134,3.53373e+12
48.6827,3.35543e+12
49.3613,3.18326e+12
50.0494,3.01718e+12
50.7471,2.85715e+12
51.4544,2.70306e+12
52.1717,2.55488e+12
52.8989,2.41249e+12
53.6363,2.27582e+12
54.384,2.14479e+12
55.1421,2.01926e+12
55.9107,1.89915e+12
56.6901,1.78435e+12
57.4803,1.67473e+12
58.2815,1.57019e+12
59.094,1.47059e+12
59.9177,1.37581e+12
60.7529,1.28572e+12
61.5998,1.20018e+12
62.4584,1.11907e+12
