# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,32.9,6433574.359
1.7,40,1,33,5039633.248
1.7,40,1,33.1,5254085.726
1.7,40,1,33.2,4396275.812
1.7,40,1,33.3,4503502.051
1.7,40,1,33.4,5575764.444
1.7,40,1,33.5,4717954.53
1.7,40,1,33.6,4289049.573
1.7,40,1,33.7,5790216.923
1.7,40,1,33.8,4610728.29
1.7,40,1,33.9,4503502.051
1.7,40,1,34,4503502.051
1.7,40,1,34.1,5575764.444
1.7,40,1,34.2,3860144.615
1.7,40,1,34.3,5146859.487
1.7,40,1,34.4,5468538.205
1.7,40,1,34.5,3645692.137
1.7,40,1,34.6,5039633.248
1.7,40,1,34.7,3860144.615
1.7,40,1,34.8,3967370.855
1.7,40,1,34.9,3967370.855
1.7,40,1,35,4717954.53
1.7,40,1,35.1,4289049.573
1.7,40,1,35.2,3324013.419
1.7,40,1,35.3,4181823.333
1.7,40,1,35.4,4396275.812
1.7,40,1,35.5,3109560.94
1.7,40,1,35.6,4396275.812
1.7,40,1,35.7,5254085.726
1.7,40,1,35.8,4825180.769
1.7,40,1,35.9,3538465.897
1.7,40,1,36,4396275.812
1.7,40,1,36.1,5254085.726
1.7,40,1,36.2,3967370.855
1.7,40,1,36.3,4074597.094
1.7,40,1,36.4,3752918.376
1.7,40,1,36.5,3216787.179
1.7,40,1,36.6,3752918.376
1.7,40,1,36.7,3216787.179
1.7,40,1,36.8,4181823.333
1.7,40,1,36.9,3324013.419
1.7,40,1,37,2573429.744
1.7,40,1,37.1,3967370.855
1.7,40,1,37.2,2251751.026
1.7,40,1,37.3,3860144.615
1.7,40,1,37.4,3216787.179
1.7,40,1,37.5,4503502.051
1.7,40,1,37.6,2037298.547
1.7,40,1,37.7,2787882.222
1.7,40,1,37.8,1822846.068
1.7,40,1,37.9,2680655.983
1.7,40,1,38,2037298.547
1.7,40,1,38.1,1930072.308
1.7,40,1,38.2,1930072.308
1.7,40,1,38.3,1930072.308
1.7,40,1,38.4,2358977.265
1.7,40,1,38.5,1930072.308
1.7,40,1,38.6,2680655.983
1.7,40,1,38.7,1501167.35
1.7,40,1,38.8,2358977.265
1.7,40,1,38.9,965036.1538
1.7,40,1,39,2144524.786
1.7,40,1,39.1,3002334.701
1.7,40,1,39.2,1286714.872
1.7,40,1,39.3,1608393.59
1.7,40,1,39.4,1286714.872
1.7,40,1,39.5,1072262.393
1.7,40,1,39.6,1072262.393
1.7,40,1,39.7,965036.1538
1.7,40,1,39.8,857809.9145
1.7,40,1,39.9,428904.9573
1.7,80,1,3.2,454976.9751
1.7,80,1,3.4,454976.9751
1.7,80,1,3.5,341232.7313
1.7,80,1,3.6,909953.9503
1.7,80,1,3.7,1364930.925
1.7,80,1,3.8,2161140.632
1.7,80,1,3.9,1592419.413
1.7,80,1,4,3753560.045
1.7,80,1,4.1,4436025.507
1.7,80,1,4.2,3412327.313
1.7,80,1,4.3,5573467.945
1.7,80,1,4.4,7962097.065
1.7,80,1,4.5,8303329.796
1.7,80,1,4.6,7507120.09
1.7,80,1,4.7,13308076.52
1.7,80,1,4.8,12056889.84
1.7,80,1,4.9,13080588.03
1.7,80,1,5,12056889.84
1.7,80,1,5.1,15582961.4
1.7,80,1,5.2,16947892.32
1.7,80,1,5.3,15696705.64
1.7,80,1,5.4,19791498.42
1.7,80,1,5.5,18881544.47
1.7,80,1,5.6,21156429.34
1.7,80,1,5.7,22180127.54
1.7,80,1,5.8,25251222.12
1.7,80,1,5.9,27526107
1.7,80,1,6,25137477.88
1.7,80,1,6.1,28094828.21
1.7,80,1,6.2,30483457.33
1.7,80,1,6.3,31165922.8
1.7,80,1,6.4,32530853.72
1.7,80,1,6.5,28549805.19
1.7,80,1,6.6,29914736.11
1.7,80,1,6.7,32758342.21
1.7,80,1,6.8,37649344.69
1.7,80,1,6.9,33895784.65
1.7,80,1,7,36966879.23
1.7,80,1,7.1,35146971.33
1.7,80,1,7.2,37763088.94
1.7,80,1,7.3,35943181.03
1.7,80,1,7.4,86786858.01
1.7,80,1,7.5,36625646.5
1.7,80,1,7.6,37421856.2
1.7,80,1,7.7,39128019.86
1.7,80,1,7.8,34009528.89
1.7,80,1,7.9,40492950.79
1.7,80,1,8,44019022.34
1.7,80,1,8.1,42540347.17
1.7,80,1,8.2,39696741.08
1.7,80,1,8.3,148322493.9
1.7,80,1,8.4,976494332.9
1.7,80,1,8.5,38559298.64
1.7,80,1,8.6,43677789.61
1.7,80,1,8.7,37535600.45
1.7,80,1,8.8,59260751.01
1.7,80,1,8.9,41289160.49
1.7,80,1,9,40720439.27
1.7,80,1,9.1,40037973.81
1.7,80,1,9.2,38331810.15
1.7,80,1,9.3,44587743.56
1.7,80,1,9.4,38900531.37
1.7,80,1,9.5,75184945.14
1.7,80,1,9.6,51867375.16
1.7,80,1,9.7,546654835.6
1.7,80,1,9.8,81895855.52
1.7,80,1,9.9,59715727.99
1.7,80,1,10,242730216.2
1.7,80,1,10.1,43222812.64
1.7,80,1,10.2,44132766.59
1.7,80,1,10.3,33554551.92
1.7,80,1,10.4,34919482.84
1.7,80,1,10.5,32530853.72
1.7,80,1,10.6,33327063.43
1.7,80,1,10.7,32644597.97
1.7,80,1,10.8,37308111.96
1.7,80,1,10.9,34578250.11
1.7,80,1,11,38218065.91
1.7,80,1,11.1,32530853.72
1.7,80,1,11.2,32872086.45
1.7,80,1,11.3,127507297.3
1.7,80,1,11.4,34237017.38
1.7,80,1,11.5,31734644.01
1.7,80,1,11.6,44587743.56
1.7,80,1,11.7,45725186
1.7,80,1,11.8,32985830.7
1.7,80,1,11.9,31052178.55
1.7,80,1,12,34464505.87
1.7,80,1,12.1,33554551.92
1.7,80,1,12.2,30255968.85
1.7,80,1,12.3,32758342.21
1.7,80,1,12.4,30028480.36
1.7,80,1,12.5,28436060.95
1.7,80,1,12.6,25478710.61
1.7,80,1,12.7,29687247.63
1.7,80,1,12.8,29346014.9
1.7,80,1,12.9,29459759.14
1.7,80,1,13,27981083.97
1.7,80,1,13.1,28777293.68
1.7,80,1,13.2,29232270.65
1.7,80,1,13.3,30710945.82
1.7,80,1,13.4,28094828.21
1.7,80,1,13.5,28436060.95
1.7,80,1,13.6,27639851.24
1.7,80,1,13.7,27526107
1.7,80,1,13.8,31393411.28
1.7,80,1,13.9,27981083.97
1.7,80,1,14,29004782.16
1.7,80,1,14.1,28436060.95
1.7,80,1,14.2,26388664.56
1.7,80,1,14.3,28663549.43
1.7,80,1,14.4,26274920.31
1.7,80,1,14.5,29004782.16
1.7,80,1,14.6,26729897.29
1.7,80,1,14.7,27981083.97
1.7,80,1,14.8,24909989.39
1.7,80,1,14.9,27753595.48
1.7,80,1,15,24682500.9
1.7,80,1,15.1,24000035.44
1.7,80,1,15.2,25478710.61
1.7,80,1,15.3,24796245.14
1.7,80,1,15.4,22862593
1.7,80,1,15.5,24227523.93
1.7,80,1,15.6,28549805.19
1.7,80,1,15.7,26047431.83
1.7,80,1,15.8,27981083.97
1.7,80,1,15.9,25364966.36
1.7,80,1,16,24341268.17
1.7,80,1,16.1,25137477.88
1.7,80,1,16.2,25251222.12
1.7,80,1,16.3,26047431.83
1.7,80,1,16.4,24000035.44
1.7,80,1,16.5,24455012.41
1.7,80,1,16.6,22748848.76
