# Transmission tube source spectra, Geant4 physics model G4EmPenelopePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,39.4,620511.9828
1.7,40,1,39.5,310255.9914
1.7,40,1,39.8,310255.9914
1.7,80,1,0.3,305531.2809
1.7,80,1,3.3,305531.2809
1.7,80,1,3.5,611062.5618
1.7,80,1,3.6,305531.2809
1.7,80,1,3.7,916593.8427
1.7,80,1,3.8,916593.8427
1.7,80,1,3.9,305531.2809
1.7,80,1,4,3971906.652
1.7,80,1,4.1,3360844.09
1.7,80,1,4.2,2138718.966
1.7,80,1,4.3,5499563.056
1.7,80,1,4.4,3971906.652
1.7,80,1,4.5,6721688.179
1.7,80,1,4.6,6416156.899
1.7,80,1,4.7,7638282.022
1.7,80,1,4.8,6416156.899
1.7,80,1,4.9,7943813.303
1.7,80,1,5,9471469.707
1.7,80,1,5.1,12832313.8
1.7,80,1,5.2,10999126.11
1.7,80,1,5.3,13443376.36
1.7,80,1,5.4,10082532.27
1.7,80,1,5.5,17415283.01
1.7,80,1,5.6,11915719.95
1.7,80,1,5.7,14971032.76
1.7,80,1,5.8,13748907.64
1.7,80,1,5.9,19859533.26
1.7,80,1,6,18637408.13
1.7,80,1,6.1,17415283.01
1.7,80,1,6.2,18637408.13
1.7,80,1,6.3,18026345.57
1.7,80,1,6.4,21998252.22
1.7,80,1,6.5,21692720.94
1.7,80,1,6.6,17109751.73
1.7,80,1,6.7,22914846.07
1.7,80,1,6.8,24748033.75
1.7,80,1,6.9,26275690.16
1.7,80,1,7,23525908.63
1.7,80,1,7.1,24748033.75
1.7,80,1,7.2,24748033.75
1.7,80,1,7.3,32997378.34
1.7,80,1,7.4,95325759.64
1.7,80,1,7.5,25053565.03
1.7,80,1,7.6,26886752.72
1.7,80,1,7.7,23525908.63
1.7,80,1,7.8,25664627.59
1.7,80,1,7.9,26275690.16
1.7,80,1,8,29636534.25
1.7,80,1,8.1,21692720.94
1.7,80,1,8.2,27192284
1.7,80,1,8.3,165292423
1.7,80,1,8.4,1130771271
1.7,80,1,8.5,26275690.16
1.7,80,1,8.6,28108877.84
1.7,80,1,8.7,24748033.75
1.7,80,1,8.8,35441628.58
1.7,80,1,8.9,29942065.53
1.7,80,1,9,29942065.53
1.7,80,1,9.1,26581221.44
1.7,80,1,9.2,24136971.19
1.7,80,1,9.3,24136971.19
1.7,80,1,9.4,27803346.56
1.7,80,1,9.5,69355600.76
1.7,80,1,9.6,42774379.32
1.7,80,1,9.7,573176682.9
1.7,80,1,9.8,79132601.75
1.7,80,1,9.9,51329255.19
1.7,80,1,10,251757775.4
1.7,80,1,10.1,23831439.91
1.7,80,1,10.2,38191410.11
1.7,80,1,10.3,23525908.63
